"","SchoolNumber","SchoolShortName"
"1",-101,NA
"2",2,"Donna"
"3",3,"Donna"
"4",41,"Donna"
"5",50,"Donna"
"6",99,""
"7",108,"Virtual"
"8",137,"Travis"
"9",138,"Travis"
"10",139,"Travis"
"11",12001,"Hope"
"12",12002,"Hope"
"13",12003,"Hope"
"14",12004,"Victory"
"15",12005,"Victory"
"16",12006,"Victory"
"17",19001,"Oscar Dunn"
"18",19002,"Oscar Dunn"
"19",19003,"Oscar Dunn"
"20",48001,"Yukon"
"21",48002,"Yukon"
"22",48003,"Yukon"
"23",59310,""
"24",59311,""
"25",59312,""
"26",59510,""
"27",59511,""
"28",59512,""
"29",917001,"Bridge"
"30",917002,"Bridge"
"31",917003,"Bridge"
"32",917004,"Innovation"
"33",917005,"Innovation"
"34",917006,"Innovation"
"35",917007,"UP"
"36",917008,"UP"
"37",917009,"UP"
"38",999999,"Grad"
"39",108807002,"Quest"
"40",108807003,"Frontier"
"41",108807004,"Mission"
"42",108807005,"San Benito"
"43",108807006,"San Juan CP"
"44",108807007,"Alamo"
"45",108807008,"Pharr"
"46",108807009,"Edinburg"
"47",108807010,"Weslaco"
"48",108807011,"McAllen"
"49",108807012,"Brownsville"
"50",108807013,"Weslaco Pike"
"51",108807014,"Riverview"
"52",108807015,"North Mission"
"53",108807016,"Rio Grande City"
"54",108807017,"Tres Lagos"
"55",108807018,"Toros"
"56",108807019,"Elsa"
"57",108807020,"Carver"
"58",108807021,"South Flores"
"59",108807022,"Monterrey Park"
"60",108807023,"Walzem"
"61",108807024,"Eastside"
"62",108807025,"Judson"
"63",108807026,"Mays"
"64",108807027,"Najim"
"65",108807028,"Brackenridge"
"66",108807029,"Ewing Halsell"
"67",108807030,"Ingram Hills"
"68",108807035,"Montopolis"
"69",108807036,"Rundberg"
"70",108807037,"Bluff Springs"
"71",108807038,"Pflugerville"
"72",108807039,"Kyle"
"73",108807040,"Rio Vista"
"74",108807042,"Quest"
"75",108807043,"Frontier"
"76",108807044,"Mission"
"77",108807045,"San Benito"
"78",108807046,"San Juan CP"
"79",108807047,"Alamo"
"80",108807048,"Pharr"
"81",108807049,"Edinburg"
"82",108807050,"Weslaco"
"83",108807051,"McAllen"
"84",108807052,"Brownsville"
"85",108807053,"Weslaco Pike"
"86",108807054,"Riverview"
"87",108807055,"North Mission"
"88",108807056,"Rio Grande City"
"89",108807057,"Tres Lagos"
"90",108807058,"Toros"
"91",108807059,"Elsa"
"92",108807060,"Carver"
"93",108807061,"South Flores"
"94",108807062,"Monterrey Park"
"95",108807063,"Walzem"
"96",108807064,"Eastside"
"97",108807065,"Judson"
"98",108807066,"Mays"
"99",108807067,"Najim"
"100",108807068,"Brackenridge"
"101",108807069,"Ewing Halsell"
"102",108807070,"Ingram Hills"
"103",108807075,"Montopolis"
"104",108807076,"Rundberg"
"105",108807077,"Bluff Springs"
"106",108807083,"Owassa"
"107",108807084,"Edgemere"
"108",108807085,"Mesa Hills"
"109",108807086,"Rise"
"110",108807087,"Achieve"
"111",108807088,"Robindale"
"112",108807089,"Los Encinos"
"113",108807090,"Parmer Park"
"114",108807091,"Health Professions"
"115",108807092,"Burke"
"116",108807093,"Hardy"
"117",108807094,"Spears"
"118",108807095,"Harlingen"
"119",108807096,"Sports Park"
"120",108807097,"Palmview"
"121",108807098,"Hidden Meadow"
"122",108807099,"Converse"
"123",108807102,"Quest"
"124",108807103,"Frontier"
"125",108807104,"Mission"
"126",108807105,"San Benito"
"127",108807106,"San Juan AC"
"128",108807107,"Alamo"
"129",108807108,"Pharr"
"130",108807109,"Edinburg"
"131",108807110,"Weslaco"
"132",108807111,"McAllen"
"133",108807112,"Brownsville"
"134",108807113,"Weslaco Pike"
"135",108807114,"Riverview"
"136",108807115,"North Mission"
"137",108807116,"Rio Grande City"
"138",108807117,"Tres Lagos"
"139",108807119,"Elsa"
"140",108807120,"Carver"
"141",108807121,"South Flores"
"142",108807122,"Monterrey Park"
"143",108807123,"Walzem"
"144",108807124,"Eastside"
"145",108807125,"Judson"
"146",108807126,"Mays"
"147",108807127,"Najim"
"148",108807128,"Brackenridge"
"149",108807129,"Ewing Halsell"
"150",108807130,"Ingram Hills"
"151",108807135,"Montopolis"
"152",108807136,"Rundberg"
"153",108807137,"Bluff Springs"
"154",108807138,"Pflugerville"
"155",108807139,"Kyle"
"156",108807140,"Rio Vista"
"157",108807183,"Owassa"
"158",108807184,"Edgemere"
"159",108807185,"Mesa Hills"
"160",108807186,"Rise"
"161",108807187,"Achieve"
"162",108807188,"Robindale"
"163",108807189,"Los Encinos"
"164",108807190,"Parmer Park"
"165",108807191,"Health Professions"
"166",108807192,"Burke"
"167",108807193,"Hardy"
"168",108807194,"Spears"
"169",108807195,"Harlingen"
"170",108807196,"Sports Park"
"171",108807197,"Palmview"
"172",108807198,"Hidden Meadow"
"173",108807199,"Converse"
"174",108807200,"Round Rock Tech"
"175",108807201,"Horizon Vista"
